l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 oyo_unite_the_fetishists_title:0 "Об'єднати the Fetishists"
 oyo_unite_the_fetishists_desc:0 "Our beliefs have always been an integral part of our identity. We need to convince the people around us to share the same vision we have."
 oyo_gather_cults_title:0 "Gather Cults"
 oyo_gather_cults_desc:0 "Now that a lot more people share our beliefs, we are more keenly aware that there are subtle differences among their shamans. We need to collect these differences to be able to have a unified true vision."
 msi_balance_of_power_title:0 "Balance of Power"
 msi_balance_of_power_desc:0 "Our country is one of chiefs and religious leaders; and to our despair they always fight among themselves to have more power than the other. We should reach an agreement with both factions so that they work together for the good of our nation."
 msi_integrate_the_muslims_title:0 "Integrate the Muslims"
 msi_integrate_the_muslims_desc:0 "The Mossi society is made up of both Muslims and Fetishists that usually collide. We need to work with both, so that a common ground is found and we can forget all these interreligious clashes. Only as Mossi first will our nation prospere."
 msi_invade_the_west_title:0 "Invade the West"
 msi_invade_the_west_desc:0 "To the west of our realm, Massina and Jenne dominate their inner land full of gold and have become a precious objective for our nation. Should we control those two central points, the area surrounding them will soon fall into our hands. Besides, they are full of treasures that will fill our coffers."
 msi_gather_the_troops_title:0 "Gather the Troops"
 msi_gather_the_troops_desc:0 "Our people are fighters and have started to become restless, thirsty for challenges and war. We should redirect this energy to enlarging our armies and finding promising leaders for them. They will have their wishes fulfilled, but under our ruling."
 msi_unite_the_kingdoms_title:0 "Об'єднати the Kingdom"
 msi_unite_the_kingdoms_desc:0 "Since the times of princess Yennega, her son Wedraogo, and their children and grandchildren, our people have been divided into several kingdoms. United, we are strong; divided, we will fall one by one. We shall gather all the Mossi lands under a single banner."
 msi_invade_the_north_title:0 "Invade the North"
 msi_invade_the_north_desc:1 "In the bend of the Niger river, up to the north, the mighty cities of Timbuktu and Gao control the riches of West Africa and the trade with the peoples living pass the great desert. Their wealth is unmeasurable and it has to be ours."
 msi_ruler_of_the_river_title:0 "Ruler of the River"
 msi_ruler_of_the_river_desc:0 "The Niger river blesses the lands it crosses with periodical floodings that make the soil incredibly fertile. We will only be able to call ourselves Rulers of the River and get advantage of this fertility when the area around the Bend of the Niger belongs to us and only to us."
 msi_hegemony_of_west_africa_title:0 "Hegemony of West Africa"
 msi_hegemony_of_west_africa_desc:0 "For generations, Mali has controlled most of West Africa with an iron fist. Their power has been fading, though, while ours have grown stronger by the day. In order to claim hegemony over this region, we have to dominate it and destroy or subdue Mali."
 msi_the_kingdom_confederacy_title:0 "The Kingdom Confederacy"
 msi_the_kingdom_confederacy_desc:0 "Our people have been traditionally spread out between the several Mossi kingdoms; some big and other petty, but disunited nevertheless. If we want to survive as a nation, we need to unite as a confederacy."
 msi_the_kingdom_confederacy_ct:0 "Запущено подію '§YКонфедеральне королівство Мосі§!'."
 msi_the_centralization_question_title:0 "Centralize the Confederacy"
 msi_the_centralization_question_desc:0 "The times of local rulership must be gone and only a central power should retain the capacity of leading this nation. We will make sure that people administering the provinces of our realm respond to us directly."
