l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 alcheringa_events.9.d:0 "Серед нашого народу є ті, хто не вірить в історії сновидінь. Зараз, як ніколи, важливо надати приклади історій нашого народу, завербувати прибічників серед цих зайд і дати їм усвідомити сновидіння."
 alcheringa_events.9.a:0 "Чудово"
 alcheringa_events.10.t:0 "Веселковий змій"
 alcheringa_events.10.d:0 "Історії сновидінь в Австралії сильно різняться, але одна річ залишається незмінною – це віра у Веселкового змія. Тільки вивчивши всі аспекти сновидіння, ми зможемо по-справжньому зрозуміти природу Веселкового змія."
 alcheringa_events.10.a:0 "Чудово"
 province_is_buddhist_or_accepts_buddhism_at:0 "Релігією провінції §Y[Root.GetName]§! є або §Yтгеравада§!, або §Yваджраяна§!, або §Yмахаяна§! і є державною, синкретичною або гармонізованою релігією власника."
 province_is_buddhist_or_accepts_buddhism_bt:0 "Релігія провінції §Y[Root.GetName]§! – §Yконфуціанство§!, а власник гармонізував або §Yтгераваду§!, або §Yваджраяну§!, або §Yмахаяну§!."
 province_is_buddhist_or_accepts_buddhism_ct:0 "Релігія провінції §Y[Root.GetName]§! – §Yтенгріанство§!, а власник сповідує §Yтгераваду§!, §Yваджраяну§! або §Yмахаяну§! як свою синкретичну релігію."
 province_is_buddhist_or_accepts_buddhism_dt:1 "Релігія провінції §Y[Root.GetName]§! та її власника – §Yсинтоїзм§!."
 province_is_buddhist_or_accepts_buddhism_et:0 "Релігія провінції §Y[Root.GetName]§! та її власника – §Yгіндуізм§!, а власник дотримується вчень §YБудди§!."
 province_is_buddhist_or_accepts_buddhism_ft:0 "Релігія провінції §Y[Root.GetName]§! та її власника – §Yфетишизм§!,а власник слідує культу §YБуддадхарми§!."
